Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
2417,圓剛,市,114,電腦及週邊設備業,Electronic,Computers,19.3,消費性電子產品
2419,仲琦,市,65.1,通信網路業,Electronic,Communications,32.9,"軟體業,資訊服務"
2420,新巨,市,47.2,電子零組件業,Electronic,Components,15.3,"光通訊,電源供應器"
2421,建準,市,150,電子零組件業,Electronic,Components,25.1,電子零組件
2423,固緯,市,31.8,其他電子業,Electronic,Others,14.5,其他電子
2424,隴華,市,4.42,電腦及週邊設備業,Electronic,Computers,3,消費性電子產品
2425,承啟,市,24.9,電腦及週邊設備業,Electronic,Computers,10.1,"主機板,消費性電子產品,DRAM模組,電源供應器,機殼業"
2426,鼎元,市,44,光電業,Electronic,Opto,30.1,LED發光二極體
2427,三商電,市,19.1,資訊服務業,Electronic,Service,18.4,"軟體業,資訊服務"
2428,興勤,市,125,電子零組件業,Electronic,Components,12.8,"IC設計,被動元件"
2429,銘旺科,市,6.17,電子零組件業,Electronic,Components,3.67,印刷電路板
2430,燦坤,市,30.3,電子通路業,Electronic,Distribution,16.6,資訊通路
2431,聯昌,市,10.3,電子零組件業,Electronic,Components,11.1,電源供應器
2433,互盛電,市,68.8,其他電子業,Electronic,Others,14.4,"資訊通路,辦公室自動化"
2434,統懋,市,4.32,半導體業,Electronic,Semi,1.7,半導體
